WONUM,Farm ID,Farm Name,Farm Number,Turbine No,Component Code,Component Name,Description,Description_EN,Observations,Observations_EN,Age at Event,Event Date
124161,AAA,CLASSIFIED,WF-000,WT-000,MST11,MV-Transformation Generator 1,"Sinalizador de tensão da cela de entrada (L1), têm a lâmpada fundida.",Input cell voltage indicator (L1) has a blown bulb.,"Indicador luminoso da presença de tensão da cela de entrada (L1), têm a lâmpada fundida.",Voltage presence indicator light for the input cell (L1) has a burnt out lamp.,1.0,2025-01-01 00:00:00
111667,AAA,CLASSIFIED,WF-000,WT-000,UMD11,Tower System Top Section,Pintura da porta e soldas da torre com pontos de oxidação,Door painting and tower welding with oxidation points,Pintura da torre com sinais de oxidação,Tower paint with signs of oxidation,1.0,2025-01-01 00:00:00
111669,AAA,CLASSIFIED,WF-000,WT-000,UMD29,Tower System Bottom Section,"Pintura da torre com oxidação (união dos tramos, saída da conduta ventilação e porta)","Tower painting with oxidation (union of sections, ventilation duct outlet and door)",Pintura da torre com sinais de oxidação,Tower paint with signs of oxidation,1.0,2025-01-01 00:00:00
103236,AAA,CLASSIFIED,WF-000,WT-000,UMD29,Tower System Bottom Section,Sinalização de segurança danificada por descoloração dos autocolantes ou pela sua degradação.,Safety signage damaged by discoloration of stickers or their degradation.,Sinalização exterior da torre,Tower exterior signage,1.0,2025-01-01 00:00:00
117475,AAA,CLASSIFIED,WF-000,WT-000,MDK20 TL001,Gearbox,Substituição de slipring da caixa multiplicadora,Replacement of the gearbox slip ring,Substituição de slip ring em gearbox.,Slip ring replacement in gearbox.,1.0,2025-01-01 00:00:00
185199,AAA,CLASSIFIED,WF-000,WT-000,MDX10,Central Hydraulic System,Paragem com o erro 174,Stop with error 174,Paragem com o erro 174 FeedBack Hyd. Motor=0,Stop with error 174 Feedback Hyd. Motor=0,1.0,2025-01-01 00:00:00
217334,AAA,CLASSIFIED,WF-000,WT-000,MUR20,Cooling System Converter and Generation,Paragem com o erro 546,Stop with error 546,Sucessivas paragens com o erro 546,Successive stops with error 546,1.0,2025-01-01 00:00:00
185208,AAA,CLASSIFIED,WF-000,WT-000,MDA20,Rotor Hub Unit,Paragem com o erro 675,Stop with error 675,Paragem com o erro 675- Signal error EMC-valve,Stop with error 675- Signal error EMC-valve,1.0,2025-01-01 00:00:00
145874,AAA,CLASSIFIED,WF-000,WT-000,MSE11,Converter System Generator 1,Substituição do Q8,Q8 Replacement,Paragem da TE com Q8 Breaker Open,TE stoppage with Q8 Breaker Open,1.0,2025-01-01 00:00:00
269936,AAA,CLASSIFIED,WF-000,WT-000,MDA13,Rotor Blade System,Reparação da pá 3,Repair of blade 3,Nenhuma observação fornecida,No observation provided,1.0,2025-01-01 00:00:00
185622,AAA,CLASSIFIED,WF-000,WT-000,MSC11,Generator Switching System Generator 1,Paragem com o erro 546,Stop with error 546,"Paragem com o erro ""high water temp gen""","Stop with the error ""high water temp gen""",1.0,2025-01-01 00:00:00
145816,AAA,CLASSIFIED,WF-000,WT-000,MKA11 GA001,Generator 1,Substituição do elemento de borracha do acoplamento,Replacement of the coupling's rubber element,Substituir rolamento NDE do Gerador,Replace Generator NDE bearing,1.0,2025-01-01 00:00:00
111612,AAA,CLASSIFIED,WF-000,WT-000,MDA12,Rotor Blade System,Reparar dano CAT.3,Repair CAT.3 damage,Nenhuma observação fornecida,No observations provided,1.0,2025-01-01 00:00:00
217240,AAA,CLASSIFIED,WF-000,WT-000,MDA12,Rotor Blade System,Substituição do rolamento da pá B,Replacement of blade bearing B,Nenhuma observação fornecida,No observation provided,1.0,2025-01-01 00:00:00
217641,AAA,CLASSIFIED,WF-000,WT-000,UMD29,Tower System Bottom Section,Sinalética junto à entrada apresenta desgaste.,Signage next to the entrance shows wear and tear.,Sinalética perigo de morte da porta de entrada apresenta desgaste.,Danger of death sign on the entrance door shows wear and tear.,1.0,2025-01-01 00:00:00
269614,AAA,CLASSIFIED,WF-000,WT-000,MSE40,Cooling Converter Systems,Erro no conversor FM1208 - MI classe B.,Error in converter FM1208 - MI class B.,Insistência do erro FM1208 - MI class B fault.,Persistence of error FM1208 - MI class B fault.,1.0,2025-01-01 00:00:00
392370,AAA,CLASSIFIED,WF-000,WT-000,MDX10,Central Hydraulic System,"Ocorrência do erro 161 - Hydr max time:___sec, ___bar","Occurrence of error 161 - Hydr max time:___sec, ___bar","Hydr max time:___sec, ___bar","Hydraulic max time:___sec, ___bar",1.0,2025-01-01 00:00:00
254764,AAA,CLASSIFIED,WF-000,WT-000,MDX10,Central Hydraulic System,Corrigir fuga de óleo na central hidráulica,Correct oil leak in the hydraulic power unit,Corrigir fuga de óleo na unidade hidráulica,Correct oil leak in the hydraulic unit,1.0,2025-01-01 00:00:00
